#	Kanji	Reading	Definition	Part	Jisho
295	母	はは	(speaker's)mother	Noun	Jisho
296	親	おや	parent	Noun	Jisho
297	姉	あね	older sister	Noun	Jisho
298	お姉さん	おねえさん	older sister	Noun	Jisho
299	妹	いもうと	younger sister	Noun	Jisho
300	おなか	おなか	stomach	Noun	Jisho
301	兄	あに	older brother	Noun	Jisho
302	お兄さん	おにいさん	older brother	Noun	Jisho
303	弟	おとうと	younger brother	Noun	Jisho
304	娘	むすめ	daughter, girl	Noun	Jisho
305	息子	むすこ	son	Noun	Jisho
306	若い	わかい	young	Adjective	Jisho
307	彼女	かのじょ	she, one's girlfriend	Pronoun	Jisho
308	彼	かれ	he, one's boyfriend	Noun	Jisho
309	結婚	けっこん	marriage	Verbal Noun	Jisho
310	ミーティング	ミーティング	meeting	Noun	Jisho
311	自転車	じてんしゃ	bicycle	Noun	Jisho
312	自分	じぶん	self, oneself	Noun	Jisho
313	ご主人	ごしゅじん	(your) husband	Noun	Jisho
314	答える	こたえる	answer, reply	Verb	Jisho
315	別	べつ	another, different	Adjectival Noun	Jisho
316	病気	びょうき	illness	Verbal Noun	Jisho
317	死ぬ	しぬ	die	Verb	Jisho
318	痛い	いたい	painful	Adjective	Jisho
319	酒	さけ	alcoholic drink, Japanese rice wine	Noun	Jisho
320	つける	つける	switch on	Verb	Jisho
321	一杯	いっぱい	full	Adverb	Jisho
322	飛ぶ	とぶ	fly	Verb	Jisho
323	飛行機	ひこうき	airplane	Noun	Jisho
324	お願い	おねがい	favor	Verbal Noun	Jisho
325	続く	つづく	continue, follow	Verb	Jisho
326	日記	にっき	diary	Noun	Jisho
327	首	くび	neck	Noun	Jisho
328	頭	あたま	head	Noun	Jisho
329	顔	かお	face	Noun	Jisho
330	あれ	あれ	that over there	Noun	Jisho
331	感じる	かんじる	feel, sense	Verb	Jisho
332	探す	さがす	search for, look for	Verb	Jisho
333	落ちる	おちる	fall, sink	Verb	Jisho
334	お手洗い	おてあらい	toilet, bathroom	Noun	Jisho
335	冷たい	つめたい	cold (things, touch)	Adjective	Jisho
336	汚い	きたない	dirty	Adjective	Jisho
337	太い	ふとい	thick, fat	Adjective	Jisho
338	曇る	くもる	become cloudy	Verb	Jisho
339	神	かみ	god, spirit	Noun	Jisho
340	まずい	まずい	bad-tasting, bad	Adjective	Jisho
341	建てる	たてる	build, erect	Verb	Jisho
342	置く	おく	put, leave	Verb	Jisho
343	辺	へん	area; vicinity	Noun	Jisho
344	黄色い	きいろい	yellow	Adjective	Jisho
345	一緒に	いっしょに	together, at the same time	Adverb	Jisho
346	緑	みどり	green, foliage	Noun	Jisho
347	易しい	やさしい	easy, simple	Adjective	Jisho
348	留学生	りゅうがくせい	student studying abroad	Noun	Jisho
349	戻る	もどる	return, turn back	Verb	Jisho
350	そば	そば	side, vicinity	Noun	Jisho
351	起きる	おきる	get up, get out of bed	Verb	Jisho
352	起こる	おこる	happen	Verb	Jisho
353	起こす	おこす	wake up	Verb	Jisho
354	起きる	おきる	occur, wake up	Verb	Jisho
355	寝る	ねる	sleep, go to sleep	Verb	Jisho
356	細い	ほそい	thin, slender, narrow	Adjective	Jisho
357	載せる	のせる	place, put on	Verb	Jisho
358	締める	しめる	tighten, fasten	Verb	Jisho
359	甘い	あまい	sweet	Adjective	Jisho
360	こっち	こっち	here	Pronoun	Jisho
361	辛い	からい	spicy, salty	Adjective	Jisho
362	優しい	やさしい	gentle, kind	Adjective	Jisho
363	夫	おっと	husband	Noun	Jisho
364	妻	つま	wife	Noun	Jisho
365	誰	だれ	who, whom	Noun	Jisho
366	愛する	あいする	love, care for	Verb	Jisho
367	笑う	わらう	laugh, smile	Verb	Jisho
368	酸っぱい	すっぱい	sour	Adjective	Jisho
369	言葉	ことば	word, language	Noun	Jisho
370	よう	よう	way, like, kind	Noun	Jisho
371	呼ぶ	よぶ	call, name	Verb	Jisho
372	胸	むね	chest	Noun	Jisho
373	腰	こし	hip, lower back	Noun	Jisho
374	背	せ	height, stature	Noun	Jisho
375	片仮名	かたかな	katakana	Noun	Jisho
376	平仮名	ひらがな	hiragana	Noun	Jisho
377	悲しい	かなしい	sad	Adjective	Jisho
378	美しい	うつくしい	beautiful	Adjective	Jisho
379	授業	じゅぎょう	class, lesson	Verbal Noun	Jisho
380	あそこ	あそこ	over there	Pronoun	Jisho
381	手伝う	てつだう	help, assist	Verb	Jisho
382	狭い	せまい	narrow, restricted	Adjective	Jisho
383	触る	さわる	touch, feel	Verb	Jisho
384	嫌い	きらい	dislike	Adjective	Jisho
385	浴びる	あびる	take (a shower)	Verb	Jisho
386	渇く	かわく	be thirsty	Verb	Jisho
387	髪の毛	かみのけ	hair	Noun	Jisho
388	肩	かた	shoulder	Noun	Jisho
389	鼻	はな	nose	Noun	Jisho
390	おいしい	おいしい	tasty	Adjective	Jisho
391	腕	うで	arm	Noun	Jisho
392	掛ける	かける	hang, put on	Verb	Jisho
393	僕	ぼく	I (young male)	Noun	Jisho
394	駄目	だめ	no good	Adjectival Noun	Jisho
395	大丈夫	だいじょうぶ	alright, OK	Adjectival Noun	Jisho
396	風邪	かぜ	cold (illness)	Noun	Jisho
397	奇麗	きれい	beautiful	Adjectival Noun	Jisho
398	嬉しい	うれしい	happy, glad	Adjective	Jisho
399	なる	なる	become	Verb	Jisho
400	ため	ため	sake, purpose	Noun	Jisho
401	より	より	more, further	Adverb	Jisho
402	七	しち	seven	Noun	Jisho
403	九	く	nine	Noun	Jisho
404	億	おく	hundred million	Noun	Jisho
405	寺	てら	buddhist temple	Noun	Jisho
406	ドル	ドル	dollar	Noun	Jisho
407	日	ひ	sun, sunlight, day	Noun	Jisho
408	火	ひ	fire	Noun	Jisho
409	木	き	tree, wood	Noun	Jisho
410	金	きん	gold, sum of money, Friday	Noun	Jisho
411	システム	システム	system	Noun	Jisho
412	十分	じゅうぶん	full, plentiful	Adjectival Noun	Jisho
413	分	ぶん	amount, part, share	Noun	Jisho
414	分ける	わける	divide into parts, sort, share	Verb	Jisho
415	分かれる	わかれる	be divided, disperse, branch off	Verb	Jisho
416	コンピューター	コンピューター	computer	Noun	Jisho
417	何か	なにか	something	Noun	Jisho
418	何	なん	what, which	Noun	Jisho
419	先ず	まず	first	Adverb	Jisho
420	先月	せんげつ	last month	Noun	Jisho
